Release  Id : 110	Personal Income by State
AKEACC                        Accommodation and Food Services Earnings in Alaska                                                                       T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKEADJ                        Residence Adjustment in Alaska                                                                                           T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKEADM                        Administrative and Waste Services Earnings in Alaska                                                                     T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKEART                        Arts, Entertainment and Recreation Earnings in Alaska                                                                    T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKECON                        Construction Earnings in Alaska                                                                                          T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKEDUR                        Durable Manufacturing Earnings in Alaska                                                                                 T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKEEDU                        Educational Services Earnings in Alaska                                                                                  T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKEFIN                        Finance and Insurance Earnings in Alaska                                                                                 T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKEFOR                        Forestry, Fishing, Related Activities, and Other Earnings in Alaska                                                      T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKEHEA                        Health Care and Social Assistance Earnings in Alaska                                                                     T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKEINF                        Information Earnings in Alaska                                                                                           T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKEMAN                        Management of Companies and Enterprises Earnings in Alaska                                                               T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKEMIN                        Mining Earnings in Alaska                                                                                                T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKENET                        Net Earnings by Place of Residence in Alaska                                                                             T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKENON                        Nondurable Manufacturing Earnings in Alaska                                                                              T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKEOTH                        Other Services (except Public Administration) Earnings in Alaska                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKEPLA                        Earnings by Place of Work in Alaska                                                                                      T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKEPRO                        Professional and Technical Services Earnings in Alaska                                                                   T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKEREA                        Real Estate, Rental and Leasing Earnings in Alaska                                                                       T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKERET                        Retail Trade Earnings in Alaska                                                                                          T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKETRA                        Transportation and Warehousing Earnings in Alaska                                                                        T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKEUTI                        Utilities Earnings in Alaska                                                                                             T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKEWHO                        Wholesale Trade Earnings in Alaska                                                                                       T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKOBEN                        State Unemployment Benefits in Alaska                                                                                    T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKODIV                        Dividends, Interest and Rent in Alaska                                                                                   M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKOFAR                        Proprietors' Farm Income in Alaska                                                                                       M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKONON                        Proprietors' Nonfarm Income in Alaska                                                                                    M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKOOTH                        Other Labor Income in Alaska                                                                                             M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKOSOC                        Personal Contributions for Social Insurance in Alaska                                                                    M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKOTOT                        Total Personal Income in Alaska                                                                                          M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKOTRA                        Transfers less State Unemployment Benefits in Alaska (DISCONTINUED)                                                      M SAAR 01-Jul-2013 01-Jan-2013             Quarterly          
AKPCPI                        Per Capita Personal Income in Alaska                                                                                       NSA  30-Sep-2022 01-Jan-2021             Annual             
AKWACC                        Accommodation and Food Services Wages and Salaries in Alaska                                                             T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKWADM                        Administrative and Waste Services Wages and Salaries in Alaska                                                           T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKWART                        Arts, Entertainment and Recreation Wages and Salaries in Alaska                                                          T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKWCON                        Construction Wages and Salaries in Alaska                                                                                T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKWDUR                        Durable Manufacturing Wages and Salaries in Alaska                                                                       T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKWEDU                        Educational Services Wages and Salaries in Alaska                                                                        T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKWFIN                        Finance and Insurance Wages and Salaries in Alaska                                                                       T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKWFOR                        Forestry, Fishing, Related Activities and Other Wages and Salaries in Alaska                                             T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKWHEA                        Health Care and Social Assistance Wages and Salaries in Alaska                                                           T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKWINF                        Information Wages and Salaries in Alaska                                                                                 T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKWMAN                        Management of Companies and Enterprises Wages and Salaries in Alaska                                                     T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKWMIN                        Mining Wages and Salaries in Alaska                                                                                      T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKWNON                        Nondurable Manufacturing Wages and Salaries in Alaska                                                                    T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKWOTH                        Other Services (Except Public Administration) Wages and Salaries in Alaska                                               T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKWPRO                        Professional and Technical Services Wages and Salaries in Alaska                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKWREA                        Real Estate, Rental and Leasing Wages and Salaries in Alaska                                                             T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKWRET                        Retail Trade Wages and Salaries in Alaska                                                                                T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKWTOT                        Total Wages and Salaries in Alaska                                                                                       T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKWTRA                        Transportation and Warehousing Wages and Salaries in Alaska                                                              T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKWUTI                        Utilities Wages and Salaries in Alaska                                                                                   T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AKWWHO                        Wholesale Trade Wages and Salaries in Alaska                                                                             T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALEACC                        Accommodation and Food Services Earnings in Alabama                                                                      T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALEADJ                        Residence Adjustment in Alabama                                                                                          T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALEADM                        Administrative and Waste Services Earnings in Alabama                                                                    T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALEART                        Arts, Entertainment and Recreation Earnings in Alabama                                                                   T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALECON                        Construction Earnings in Alabama                                                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALEDUR                        Durable Manufacturing Earnings in Alabama                                                                                T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALEEDU                        Educational Services Earnings in Alabama                                                                                 T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALEFIN                        Finance and Insurance Earnings in Alabama                                                                                T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALEFOR                        Forestry, Fishing, Related Activities, and Other Earnings in Alabama                                                     T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALEHEA                        Health Care and Social Assistance Earnings in Alabama                                                                    T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALEINF                        Information Earnings in Alabama                                                                                          T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALEMAN                        Management of Companies and Enterprises Earnings in Alabama                                                              T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALEMIN                        Mining Earnings in Alabama                                                                                               T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALENET                        Net Earnings by Place of Residence in Alabama                                                                            T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALENON                        Nondurable Manufacturing Earnings in Alabama                                                                             T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALEOTH                        Other Services (except Public Administration) Earnings in Alabama                                                        T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALEPLA                        Earnings by Place of Work in Alabama                                                                                     T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALEPRO                        Professional and Technical Services Earnings in Alabama                                                                  T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALEREA                        Real Estate, Rental and Leasing Earnings in Alabama                                                                      T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALERET                        Retail Trade Earnings in Alabama                                                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALETRA                        Transportation and Warehousing Earnings in Alabama                                                                       T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALEUTI                        Utilities Earnings in Alabama                                                                                            T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALEWHO                        Wholesale Trade Earnings in Alabama                                                                                      T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALOBEN                        State Unemployment Benefits in Alabama                                                                                   T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALODIV                        Dividends, Interest and Rent in Alabama                                                                                  M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALOFAR                        Proprietors' Farm Income in Alabama                                                                                      M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALONON                        Proprietors' Nonfarm Income in Alabama                                                                                   M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALOOTH                        Other Labor Income in Alabama                                                                                            M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALOSOC                        Personal Contributions for Social Insurance in Alabama                                                                   M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALOTOT                        Total Personal Income in Alabama                                                                                         M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALOTRA                        Transfers less State Unemployment Benefits in Alabama (DISCONTINUED)                                                     M SAAR 01-Jul-2013 01-Jan-2013             Quarterly          
