Id : 14  G.19 Consumer Credit
AUTONS                                  Total Automobile Credit Outstanding (DISCONTINUED)                                                                                      NSA  Monthly, End of Period 22-Sep-2006  
AUTOSL                                  Total Automobile Credit Outstanding (DISCONTINUED)                                                                                      SA   Monthly, End of Period 22-Sep-2006  
DTCNLHDNM                               Total Consumer Credit Securitized by Depository Institutions                                                                            NSA  Monthly    07-Dec-2022  
DTCNLHDXDFBANM                          Total Consumer Credit Securitized by Depository Institutions, Flow                                                                      NSA  Monthly    07-Dec-2022  
DTCNLHFNM                               Total Consumer Credit Securitized by Finance Companies                                                                                  NSA  Monthly    07-Dec-2022  
DTCNLHFXDFBANM                          Total Consumer Credit Securitized by Finance Companies, Flow                                                                            NSA  Monthly    07-Dec-2022  
DTCNLHNNM                               Total Consumer Credit Securitized by Nonfinancial Business                                                                              NSA  Monthly    07-Dec-2022  
DTCNLHNXDFBANM                          Total Consumer Credit Securitized by Nonfinancial Business, Flow                                                                        NSA  Monthly    07-Dec-2022  
DTCNLNHDNM                              Nonrevolving Consumer Credit Securitized by Depository Institutions                                                                     NSA  Monthly    07-Dec-2022  
DTCNLNHDXDFBANM                         Nonrevolving Consumer Credit Securitized by Depository Institutions, Flow                                                               NSA  Monthly    07-Dec-2022  
DTCNLNHFNM                              Nonrevolving Consumer Credit Securitized by Finance Companies                                                                           NSA  Monthly    07-Dec-2022  
DTCNLNHFXDFBANM                         Nonrevolving Consumer Credit Securitized by Finance Companies, Flow                                                                     NSA  Monthly    07-Dec-2022  
DTCNLNHNNM                              Nonrevolving Consumer Credit Securitized by Nonfinancial Business                                                                       NSA  Monthly    07-Dec-2022  
DTCNLNHNXDFBANM                         Nonrevolving Consumer Credit Securitized by Nonfinancial Business, Flow                                                                 NSA  Monthly    07-Dec-2022  
DTCNLRHDNM                              Revolving Consumer Credit Securitized by Depository Institutions                                                                        NSA  Monthly    07-Dec-2022  
DTCNLRHDXDFBANM                         Revolving Consumer Credit Securitized by Depository Institutions, Flow                                                                  NSA  Monthly    07-Dec-2022  
DTCNLRHNNM                              Revolving Consumer Credit Securitized by Nonfinancial Business                                                                          NSA  Monthly    07-Dec-2022  
DTCNLRHNXDFBANM                         Revolving Consumer Credit Securitized by Nonfinancial Business, Flow                                                                    NSA  Monthly    07-Dec-2022  
DTCTLHDNM                               Total Consumer Credit Owned and Securitized by Depository Institutions                                                                  NSA  Monthly    07-Dec-2022  
DTCTLHDXDFBANM                          Total Consumer Credit Owned and Securitized by Depository Institutions, Flow                                                            NSA  Monthly    07-Dec-2022  
DTCTLHFNM                               Total Consumer Credit Owned and Securitized by Finance Companies                                                                        NSA  Monthly    07-Dec-2022  
DTCTLHFXDFBANM                          Total Consumer Credit Owned and Securitized by Finance Companies, Flow                                                                  NSA  Monthly    07-Dec-2022  
DTCTLHNNM                               Total Consumer Credit Owned and Securitized by Nonfinancial Business                                                                    NSA  Monthly    07-Dec-2022  
DTCTLHNXDFBANM                          Total Consumer Credit Owned and Securitized by Nonfinancial Business, Flow                                                              NSA  Monthly    07-Dec-2022  
