Release  Id : 190	Primary Mortgage Market Survey
MORTGAGE15NC                  15-Year Fixed Rate Mortgage Average in the North Central Freddie Mac Region (DISCONTINUED)                               P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTGAGE15NE                  15-Year Fixed Rate Mortgage Average in the Northeast Freddie Mac Region (DISCONTINUED)                                   P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTGAGE15SE                  15-Year Fixed Rate Mortgage Average in the Southeast Freddie Mac Region (DISCONTINUED)                                   P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTGAGE15SW                  15-Year Fixed Rate Mortgage Average in the Southwest Freddie Mac Region (DISCONTINUED)                                   P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTGAGE15US                  15-Year Fixed Rate Mortgage Average in the United States                                                                 P NSA  22-Dec-2022 22-Dec-2022 15-Dec-2022 Weekly, Ending Thu 
MORTGAGE15W                   15-Year Fixed Rate Mortgage Average in the West Freddie Mac Region (DISCONTINUED)                                        P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTGAGE1NC                   1-Year Adjustable Rate Mortgage Average in the North Central Freddie Mac Region (DISCONTINUED)                           P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTGAGE1NE                   1-Year Adjustable Rate Mortgage Average in the Northeast Freddie Mac Region (DISCONTINUED)                               P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTGAGE1SE                   1-Year Adjustable Rate Mortgage Average in the Southeast Freddie Mac Region (DISCONTINUED)                               P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTGAGE1SW                   1-Year Adjustable Rate Mortgage Average in the Southwest Freddie Mac Region (DISCONTINUED)                               P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTGAGE1US                   1-Year Adjustable Rate Mortgage Average in the United States (DISCONTINUED)                                              P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTGAGE1W                    1-Year Adjustable Rate Mortgage Average in the West Freddie Mac Region (DISCONTINUED)                                    P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTGAGE30NC                  30-Year Fixed Rate Mortgage Average in the North Central Freddie Mac Region (DISCONTINUED)                               P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTGAGE30NE                  30-Year Fixed Rate Mortgage Average in the Northeast Freddie Mac Region (DISCONTINUED)                                   P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTGAGE30SE                  30-Year Fixed Rate Mortgage Average in the Southeast Freddie Mac Region (DISCONTINUED)                                   P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTGAGE30SW                  30-Year Fixed Rate Mortgage Average in the Southwest Freddie Mac Region (DISCONTINUED)                                   P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTGAGE30US                  30-Year Fixed Rate Mortgage Average in the United States                                                                 P NSA  22-Dec-2022 22-Dec-2022 15-Dec-2022 Weekly, Ending Thu 
MORTGAGE30W                   30-Year Fixed Rate Mortgage Average in the West Freddie Mac Region (DISCONTINUED)                                        P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTGAGE5NC                   5/1-Year Adjustable Rate Mortgage Average in the North Central Freddie Mac Region (DISCONTINUED)                         P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTGAGE5NE                   5/1-Year Adjustable Rate Mortgage Average in the Northeast Freddie Mac Region (DISCONTINUED)                             P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTGAGE5SE                   5/1-Year Adjustable Rate Mortgage Average in the Southeast Freddie Mac Region (DISCONTINUED)                             P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTGAGE5SW                   5/1-Year Adjustable Rate Mortgage Average in the Southwest Freddie Mac Region (DISCONTINUED)                             P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTGAGE5US                   5/1-Year Adjustable Rate Mortgage Average in the United States (DISCONTINUED)                                            P NSA  10-Nov-2022 10-Nov-2022             Weekly, Ending Thu 
MORTGAGE5W                    5/1-Year Adjustable Rate Mortgage Average in the West Freddie Mac Region (DISCONTINUED)                                  P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTMRGN1NC                   Margin for 1-Year Adjustable Rate Mortgage in the North Central Freddie Mac Region (DISCONTINUED)                        P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTMRGN1NE                   Margin for 1-Year Adjustable Rate Mortgage in the Northeast Freddie Mac Region (DISCONTINUED)                            P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTMRGN1SE                   Margin for 1-Year Adjustable Rate Mortgage in the Southeast Freddie Mac Region (DISCONTINUED)                            P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTMRGN1SW                   Margin for 1-Year Adjustable Rate Mortgage in the Southwest Freddie Mac Region (DISCONTINUED)                            P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTMRGN1US                   Margin for 1-Year Adjustable Rate Mortgage in the United States (DISCONTINUED)                                           P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTMRGN1W                    Margin for 1-Year Adjustable Rate Mortgage in the West Freddie Mac Region (DISCONTINUED)                                 P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTMRGN5NC                   Margin for 5/1-Year Adjustable Rate Mortgage in the North Central Freddie Mac Region (DISCONTINUED)                      P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTMRGN5NE                   Margin for 5/1-Year Adjustable Rate Mortgage in the Northeast Freddie Mac Region (DISCONTINUED)                          P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTMRGN5SE                   Margin for 5/1-Year Adjustable Rate Mortgage in the Southeast Freddie Mac Region (DISCONTINUED)                          P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTMRGN5SW                   Margin for 5/1-Year Adjustable Rate Mortgage in the Southwest Freddie Mac Region (DISCONTINUED)                          P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTMRGN5US                   Margin for 5/1-Year Adjustable Rate Mortgage in the United States (DISCONTINUED)                                         P NSA  17-Nov-2022 10-Nov-2022             Weekly, Ending Thu 
MORTMRGN5W                    Margin for 5/1-Year Adjustable Rate Mortgage in the West Freddie Mac Region (DISCONTINUED)                               P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTPTS15NC                   Origination Fees and Discount Points for 15-Year Fixed Rate Mortgage in the North Central Freddie Mac Region (DISCONTIN  P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTPTS15NE                   Origination Fees and Discount Points for 15-Year Fixed Rate Mortgage in the Northeast Freddie Mac Region (DISCONTINUED)  P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTPTS15SE                   Origination Fees and Discount Points for 15-Year Fixed Rate Mortgage in the Southeast Freddie Mac Region (DISCONTINUED)  P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTPTS15SW                   Origination Fees and Discount Points for 15-Year Fixed Rate Mortgage in the Southwest Freddie Mac Region (DISCONTINUED)  P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTPTS15US                   Origination Fees and Discount Points for 15-Year Fixed Rate Mortgage in the United States (DISCONTINUED)                 P NSA  10-Nov-2022 10-Nov-2022             Weekly, Ending Thu 
MORTPTS15W                    Origination Fees and Discount Points for 15-Year Fixed Rate Mortgage in the West Freddie Mac Region (DISCONTINUED)       P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTPTS1NC                    Origination Fees and Discount Points for 1-Year Adjustable Rate Mortgage in the North Central Freddie Mac Region (DISCO  P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTPTS1NE                    Origination Fees and Discount Points for 1-Year Adjustable Rate Mortgage in the Northeast Freddie Mac Region (DISCONTIN  P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTPTS1SE                    Origination Fees and Discount Points for 1-Year Adjustable Rate Mortgage in the Southeast Freddie Mac Region (DISCONTIN  P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTPTS1SW                    Origination Fees and Discount Points for 1-Year Adjustable Rate Mortgage in the Southwest Freddie Mac Region (DISCONTIN  P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTPTS1US                    Origination Fees and Discount Points for 1-Year Adjustable Rate Mortgage in the United States (DISCONTINUED)             P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTPTS1W                     Origination Fees and Discount Points for 1-Year Adjustable Rate Mortgage in the West Freddie Mac Region (DISCONTINUED)   P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTPTS30NC                   Origination Fees and Discount Points for 30-Year Fixed Rate Mortgage in the North Central Freddie Mac Region (DISCONTIN  P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTPTS30NE                   Origination Fees and Discount Points for 30-Year Fixed Rate Mortgage in the Northeast Freddie Mac Region (DISCONTINUED)  P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
