Release  Id : 430	County Median Age
B01002001E001001              Estimate, Median Age by Sex, Total Population (5-year estimate) in Autauga County, AL                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E001003              Estimate, Median Age by Sex, Total Population (5-year estimate) in Baldwin County, AL                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E001005              Estimate, Median Age by Sex, Total Population (5-year estimate) in Barbour County, AL                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E001007              Estimate, Median Age by Sex, Total Population (5-year estimate) in Bibb County, AL                                         NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E001009              Estimate, Median Age by Sex, Total Population (5-year estimate) in Blount County, AL                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E001011              Estimate, Median Age by Sex, Total Population (5-year estimate) in Bullock County, AL                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E001013              Estimate, Median Age by Sex, Total Population (5-year estimate) in Butler County, AL                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E001015              Estimate, Median Age by Sex, Total Population (5-year estimate) in Calhoun County, AL                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E001017              Estimate, Median Age by Sex, Total Population (5-year estimate) in Chambers County, AL                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E001019              Estimate, Median Age by Sex, Total Population (5-year estimate) in Cherokee County, AL                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E001021              Estimate, Median Age by Sex, Total Population (5-year estimate) in Chilton County, AL                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E001023              Estimate, Median Age by Sex, Total Population (5-year estimate) in Choctaw County, AL                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E001025              Estimate, Median Age by Sex, Total Population (5-year estimate) in Clarke County, AL                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E001027              Estimate, Median Age by Sex, Total Population (5-year estimate) in Clay County, AL                                         NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E001029              Estimate, Median Age by Sex, Total Population (5-year estimate) in Cleburne County, AL                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E001031              Estimate, Median Age by Sex, Total Population (5-year estimate) in Coffee County, AL                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E001033              Estimate, Median Age by Sex, Total Population (5-year estimate) in Colbert County, AL                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E001035              Estimate, Median Age by Sex, Total Population (5-year estimate) in Conecuh County, AL                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E001037              Estimate, Median Age by Sex, Total Population (5-year estimate) in Coosa County, AL                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E001039              Estimate, Median Age by Sex, Total Population (5-year estimate) in Covington County, AL                                    NSA  08-Dec-2022 01-Jan-2021             Annual             
