Name	Title	Method	Frequency	Units	Type	Last Download	Last Data Update	Thu 01-Dec-2022 18:13:21
IY32621	Interest Rate on Reserve Balances	NSA	"Daily, 7-Day"	Percent	LIN	01-Dec-22	02-Dec-22	
NPPTL	"5-Year, 5-Year Forward Inflation Expectation Rate"	NSA	Daily	Percent	LIN	01-Dec-22	01-Dec-22	
NPPTS1	5-Year Breakeven Inflation Rate	NSA	Daily	Percent	LIN	01-Dec-22	01-Dec-22	
NPPSPT	10-Year Breakeven Inflation Rate	NSA	Daily	Percent	LIN	01-Dec-22	01-Dec-22	
NPPTM	10-Year Treasury Constant Maturity Minus 3-Month Treasury Constant Maturity	NSA	Daily	Percent	LIN	01-Dec-22	01-Dec-22	
NPPBUS	10-Year Treasury Constant Maturity Minus 2-Year Treasury Constant Maturity	NSA	Daily	Percent	LIN	01-Dec-22	01-Dec-22	
NPPCON	Overnight Reverse Repurchase Agreements: Total Securities Sold by the Federal Reserve in the Temporary Open Market Operations	NSA	Daily	Billions of US Dollars	LIN	01-Dec-22	01-Dec-22	
NPPTS	Overnight Reverse Repurchase Agreements: Treasury Securities Sold by the Federal Reserve in the Temporary Open Market Operations	NSA	Daily	Billions of US Dollars	LIN	01-Dec-22	01-Dec-22	
NPPMNF	30-Year Fixed Rate Mortgage Average in the United States	NSA	"Weekly, Ending Thursday"	Percent	LIN	01-Dec-22	01-Dec-22	
NPPTTL	15-Year Fixed Rate Mortgage Average in the United States	NSA	"Weekly, Ending Thursday"	Percent	LIN	01-Dec-22	01-Dec-22	
IY33391	180-Day Average SOFR	NSA	Daily	Percent	LIN	01-Dec-22	01-Dec-22	
IY33392	30-Day Average SOFR	NSA	Daily	Percent	LIN	01-Dec-22	01-Dec-22	
IY3343	"Nikkei Stock Average, Nikkei 225"	NSA	"Daily, Close"	Index	LIN	01-Dec-22	01-Dec-22	
IY33635	Federal Funds Target Range - Upper Limit	NSA	"Daily, 7-Day"	Percent	LIN	01-Dec-22	01-Dec-22	
IY337	SOFR Index	NSA	Daily	"Index Apr 2, 2018 = 1"	LIN	01-Dec-22	01-Dec-22	
IZ3114	90-Day Average SOFR	NSA	Daily	Percent	LIN	01-Dec-22	01-Dec-22	
IZ32222	University of Louisville and Oklahoma State University: LoDI National Index	NSA	Monthly	Index	LIN	30-Nov-22	01-Dec-22	
TLBSHNO	6-Month Treasury Constant Maturity Minus Federal Funds Rate	NSA	Daily	Percent	LIN	01-Dec-22	30-Nov-22	
TFAABSHNO	5-Year Treasury Constant Maturity Minus Federal Funds Rate	NSA	Daily	Percent	LIN	01-Dec-22	30-Nov-22	
HNONWPDPI	1-Year Treasury Constant Maturity Minus Federal Funds Rate	NSA	Daily	Percent	LIN	01-Dec-22	30-Nov-22	
BOGZ1FL663067003Q	3-Month Treasury Constant Maturity Minus Federal Funds Rate	NSA	Daily	Percent	LIN	01-Dec-22	30-Nov-22	
TNWBSHNO	10-Year Treasury Constant Maturity Minus Federal Funds Rate	NSA	Daily	Percent	LIN	01-Dec-22	30-Nov-22	
BOGZ1FU385050005Q	Wilshire 5000 Full Cap Price Index	NSA	"Daily, Close"	Index	LIN	01-Dec-22	30-Nov-22	
HNOCEA	Wilshire 5000 Total Market Index	NSA	"Daily, Close"	Index	LIN	01-Dec-22	30-Nov-22	
TBSDODNS	Assets: Securities Held Outright: Mortgage-Backed Securities: Wednesday Level	NSA	"Weekly, As of Wednesday"	Millions of U.S. Dollars	LIN	01-Dec-22	30-Nov-22	
CMDEBT	Assets: Securities Held Outright: U.S. Treasury Securities: All: Wednesday Level	NSA	"Weekly, As of Wednesday"	Millions of U.S. Dollars	LIN	01-Dec-22	30-Nov-22	
HCCSDODNS	Assets: Total Assets: Total Assets (Less Eliminations from Consolidation): Wednesday Level	NSA	"Weekly, As of Wednesday"	Millions of U.S. Dollars	LIN	01-Dec-22	30-Nov-22	
HNOREMV	"1-Year Treasury Bill Secondary Market Rate, Discount Basis"	NSA	Daily	Percent	LIN	01-Dec-22	30-Nov-22	
FDHBFIN	"Market Yield on U.S. Treasury Securities at 7-Year Constant Maturity, Quoted on an Investment Basis"	NSA	Daily	Percent	LIN	01-Dec-22	30-Nov-22	
GFDEBTN	"Market Yield on U.S. Treasury Securities at 5-Year Constant Maturity, Quoted on an Investment Basis"	NSA	Daily	Percent	LIN	01-Dec-22	30-Nov-22	
HOSAVGUSM052N	"Market Yield on U.S. Treasury Securities at 6-Month Constant Maturity, Quoted on an Investment Basis"	NSA	Daily	Percent	LIN	01-Dec-22	30-Nov-22	
HSFAVGUSM052N	"Market Yield on U.S. Treasury Securities at 3-Year Constant Maturity, Quoted on an Investment Basis"	NSA	Daily	Percent	LIN	01-Dec-22	30-Nov-22	
NPPSPS2	"Market Yield on U.S. Treasury Securities at 1-Month Constant Maturity, Quoted on an Investment Basis"	NSA	Daily	Percent	LIN	01-Dec-22	30-Nov-22	
NPPSPM	"Market Yield on U.S. Treasury Securities at 2-Year Constant Maturity, Quoted on an Investment Basis"	NSA	Daily	Percent	LIN	01-Dec-22	30-Nov-22	
NPPSPS1	"Market Yield on U.S. Treasury Securities at 10-Year Constant Maturity, Quoted on an Investment Basis"	NSA	Daily	Percent	LIN	01-Dec-22	30-Nov-22	
NPPSPL1	"Market Yield on U.S. Treasury Securities at 30-Year Constant Maturity, Quoted on an Investment Basis"	NSA	Daily	Percent	LIN	01-Dec-22	30-Nov-22	
NPPSPL2	"Market Yield on U.S. Treasury Securities at 20-Year Constant Maturity, Quoted on an Investment Basis"	NSA	Daily	Percent	LIN	01-Dec-22	30-Nov-22	
NPPSPL	"Market Yield on U.S. Treasury Securities at 10-Year Constant Maturity, Quoted on an Investment Basis, Inflation-Indexed"	NSA	Daily	Percent	LIN	01-Dec-22	30-Nov-22	
NPPGPS	Federal Funds Effective Rate	NSA	"Daily, 7-Day"	Percent	LIN	01-Dec-22	30-Nov-22	
NPPGPS1	15-Day AA Nonfinancial Commercial Paper Interest Rate	NSA	Daily	Percent	LIN	01-Dec-22	30-Nov-22	
NPPGPL2	Commercial Paper Outstanding	NSA	"Weekly, Ending Wednesday"	Billions of Dollars	LIN	01-Dec-22	30-Nov-22	
NPPGPM	Moody's Seasoned Aaa Corporate Bond Yield	NSA	Daily	Percent	LIN	01-Dec-22	30-Nov-22	
NPPGPL	Moody's Seasoned Baa Corporate Bond Yield	NSA	Daily	Percent	LIN	01-Dec-22	30-Nov-22	
NPPGPL1	ICE BofA AAA US Corporate Index Effective Yield	NSA	"Daily, Close"	Percent	LIN	01-Dec-22	30-Nov-22	
NPPSPS	ICE BofA CCC & Lower US High Yield Index Effective Yield	NSA	"Daily, Close"	Percent	LIN	01-Dec-22	30-Nov-22	
NPPTL1	ICE BofA US High Yield Index Effective Yield	NSA	"Daily, Close"	Percent	LIN	01-Dec-22	30-Nov-22	
NPPFIN	Effective Federal Funds Volume	NSA	Daily	Billions of U.S. Dollars	LIN	01-Dec-22	30-Nov-22	
NPPTTU	Effective Federal Funds Rate	NSA	Daily	Percent	LIN	01-Dec-22	30-Nov-22	
NPPTS2	Secured Overnight Financing Rate	NSA	Daily	Percent	LIN	01-Dec-22	30-Nov-22	
HNODSAQ027S	3-Month Commercial Paper Minus Federal Funds Rate	NSA	Daily	Percent	LIN	30-Nov-22	29-Nov-22	
BOGZ1FL664090005Q	30-Day AA Nonfinancial Commercial Paper Interest Rate	NSA	Daily	Percent	LIN	30-Nov-22	29-Nov-22	
HNOREMQ027S	90-Day AA Financial Commercial Paper Interest Rate	NSA	Daily	Percent	LIN	30-Nov-22	29-Nov-22	
MABSHNO	30-Day AA Financial Commercial Paper Interest Rate	NSA	Daily	Percent	LIN	30-Nov-22	29-Nov-22	
DABSHNO	Henry Hub Natural Gas Spot Price	NSA	Daily	Dollars per Million BTU	LIN	30-Nov-22	29-Nov-22	
HMLBSHNO	7-Day AA Nonfinancial Commercial Paper Interest Rate	NSA	Daily	Percent	LIN	30-Nov-22	29-Nov-22	
CCLBSHNO	30-Day AA Nonfinancial Commercial Paper Interest Rate	NSA	Daily	Percent	LIN	30-Nov-22	29-Nov-22	
TDSP	"Propane Prices: Mont Belvieu, Texas"	NSA	Daily	Dollars per Gallon	LIN	30-Nov-22	28-Nov-22	
CRDQUSANABIS	Kerosene-Type Jet Fuel Prices: U.S. Gulf Coast	NSA	Daily	Dollars per Gallon	LIN	30-Nov-22	28-Nov-22	
CMLBSHNO	Crude Oil Prices: Brent - Europe	NSA	Daily	Dollars per Barrel	LIN	30-Nov-22	28-Nov-22	
BOGZ1FL154104005A	"Crude Oil Prices: West Texas Intermediate (WTI) - Cushing, Oklahoma"	NSA	Daily	Dollars per Barrel	LIN	30-Nov-22	28-Nov-22	
NCBTFTA027N	US All Grades Reformulated Gas Price	NSA	Weekly	Dollars per Gallon	LIN	28-Nov-22	28-Nov-22	
BOGZ1FA385050005Q	US All Grades Conventional Gas Price	NSA	Weekly	Dollars per Gallon	LIN	28-Nov-22	28-Nov-22	
TABSNNCB	US All Grades All Formulations Gas Price	NSA	"Weekly, Ending Monday"	Dollars per Gallon	LIN	28-Nov-22	28-Nov-22	
TNWMVBSNNCB	US Regular Reformulated Gas Price	NSA	Weekly	Dollars per Gallon	LIN	28-Nov-22	28-Nov-22	
BOGZ1FA895050005Q	US Diesel Ultra Low Sulfur (0-15 ppm) Sales Price	NSA	Weekly	Dollars per Gallon	LIN	28-Nov-22	28-Nov-22	
NCBCMDPMVCE	US Diesel Sales Price	NSA	"Weekly, Ending Monday"	Dollars per Gallon	LIN	28-Nov-22	28-Nov-22	
NCBDBIQ027S	US Regular Conventional Gas Price	NSA	Weekly	Dollars per Gallon	LIN	28-Nov-22	28-Nov-22	
NCBEILQ027S	US Regular All Formulations Gas Price	NSA	"Weekly, Ending Monday"	Dollars per Gallon	LIN	28-Nov-22	28-Nov-22	
VAPGDPM	Business Applications for the United States	NSA	"Weekly, Ending Saturday"	Percent Change from Year Ago	LIN	01-Dec-22	26-Nov-22	
VAPGDPC	Weekly Economic Index (Lewis-Mertens-Stock)	NSA	"Weekly, Ending Saturday"	Index	LIN	01-Dec-22	26-Nov-22	
GOAI	Initial Claims	SA	"Weekly, Ending Saturday"	Number	LIN	01-Dec-22	26-Nov-22	
VAPGDPFI	Initial Claims	NSA	"Weekly, Ending Saturday"	Number	LIN	01-Dec-22	26-Nov-22	
VAPGDPFIRL	"Conventional Gasoline Prices: U.S. Gulf Coast, Regular"	NSA	"Weekly, Ending Friday"	Dollars per Gallon	LIN	30-Nov-22	25-Nov-22	
VAMA	No. 2 Heating Oil Prices: New York Harbor	NSA	"Weekly, Ending Friday"	Dollars per Gallon	LIN	30-Nov-22	25-Nov-22	
